game_id,game_date,home_team_id,away_team_id,home_team,away_team,home_score,away_score
2025020145,,18,25,NSH,DAL,2,3
2025020146,,20,3,CGY,NYR,5,1
2025020147,,23,22,VAN,EDM,4,3
2025020148,,5,19,PIT,STL,6,3
2025020149,,9,6,OTT,BOS,7,2
2025020150,,4,5,PHI,PIT,3,2
2025020151,,10,20,TOR,CGY,4,3
2025020152,,7,29,BUF,CBJ,3,4
2025020153,,13,24,FLA,ANA,2,3
2025020154,,6,2,BOS,NYI,5,2
2025020155,,12,54,CAR,VGK,3,6
2025020156,,18,14,NSH,TBL,2,5
2025020157,,30,52,MIN,WPG,3,4
2025020158,,19,17,STL,DET,2,5
2025020159,,25,15,DAL,WSH,1,0
2025020160,,16,9,CHI,OTT,7,3
2025020161,,21,1,COL,NJD,8,4
2025020162,,22,68,EDM,UTA,6,3
2025020163,,23,3,VAN,NYR,0,2
2025020164,,55,8,SEA,MTL,3,4
2025020165,,28,26,SJS,LAK,3,4
2025020166,,29,10,CBJ,TOR,6,3
2025020167,,6,7,BOS,BUF,4,3
2025020168,,9,20,OTT,CGY,4,3
2025020169,,14,25,TBL,DAL,2,1
2025020170,,4,18,PHI,NSH,4,1
2025020171,,12,2,CAR,NYI,6,2
2025020172,,19,23,STL,VAN,3,4
2025020173,,30,5,MIN,PIT,1,4
2025020174,,52,16,WPG,CHI,6,3
2025020175,,22,3,EDM,NYR,3,4
2025020176,,28,1,SJS,NJD,5,2
2025020177,,26,17,LAK,DET,3,4
2025020178,,54,21,VGK,COL,2,4
2025020179,,15,2,WSH,NYI,1,3
2025020180,,24,17,ANA,DET,5,2
2025020181,,6,12,BOS,CAR,2,1
2025020182,,52,5,WPG,PIT,5,2
2025020183,,18,20,NSH,CGY,4,2
2025020184,,28,21,SJS,COL,3,2
2025020185,,13,25,FLA,DAL,4,3
2025020186,,7,15,BUF,WSH,4,3
2025020187,,8,9,MTL,OTT,4,3
2025020188,,4,10,PHI,TOR,2,5
2025020189,,29,19,CBJ,STL,3,2
2025020190,,30,23,MIN,VAN,5,2
2025020191,,26,1,LAK,NJD,1,4
2025020192,,22,16,EDM,CHI,3,2
2025020193,,55,3,SEA,NYR,2,3
2025020194,,68,14,UTA,TBL,2,4
2025020195,,2,29,NYI,CBJ,3,2
2025020196,,4,20,PHI,CGY,1,2
2025020197,,24,1,ANA,NJD,4,1
2025020198,,28,17,SJS,DET,2,3
2025020199,,10,5,TOR,PIT,4,3
2025020200,,19,22,STL,EDM,3,2
2025020201,,18,23,NSH,VAN,4,5
2025020202,,55,16,SEA,CHI,3,1
2025020203,,7,68,BUF,UTA,1,2
2025020204,,8,4,MTL,PHI,4,5
2025020205,,2,6,NYI,BOS,3,4
2025020206,,3,12,NYR,CAR,0,3
2025020207,,25,22,DAL,EDM,4,3
2025020208,,30,18,MIN,NSH,3,2
2025020209,,21,14,COL,TBL,3,2
2025020210,,54,17,VGK,DET,1,0
2025020211,,24,13,ANA,FLA,7,3
2025020212,,26,52,LAK,WPG,3,0
2025020213,,10,68,TOR,UTA,5,3
2025020214,,15,19,WSH,STL,6,1
2025020215,,20,29,CGY,CBJ,5,1
2025020216,,23,16,VAN,CHI,2,5
2025020217,,55,28,SEA,SJS,1,6
2025020218,,6,9,BOS,OTT,3,2
2025020219,,7,19,BUF,STL,0,3
2025020220,,1,8,NJD,MTL,4,3
2025020221,,5,15,PIT,WSH,5,3
2025020222,,12,30,CAR,MIN,4,3
2025020223,,18,4,NSH,PHI,1,3
2025020224,,25,24,DAL,ANA,5,7
2025020225,,54,14,VGK,TBL,3,6
2025020226,,26,13,LAK,FLA,2,5
2025020227,,17,3,DET,NYR,1,4
2025020228,,2,30,NYI,MIN,2,5
2025020229,,20,16,CGY,CHI,0,4
2025020230,,28,52,SJS,WPG,2,1
2025020231,,1,5,NJD,PIT,2,1
2025020232,,4,9,PHI,OTT,2,3
2025020233,,18,25,NSH,DAL,4,5
2025020234,,10,6,TOR,BOS,3,5
2025020235,,8,68,MTL,UTA,6,2
