feature,coefficient,abs_coefficient
home_rolling_faceoff_win_pct_avg10,-0.36701893243134515,0.36701893243134515
home_rolling_pims_avg5,-0.2836261431438788,0.2836261431438788
home_rolling_faceoff_win_pct_avg5,0.282385379799766,0.282385379799766
away_rolling_blocked_shots_avg5,-0.23057077660413863,0.23057077660413863
home_rolling_pims_avg10,0.22932507005581523,0.22932507005581523
away_rolling_shots_against_avg5,0.22636317726063643,0.22636317726063643
home_rolling_hits_avg10,0.19707911814262266,0.19707911814262266
home_rolling_shots_for_avg10,0.19631068721038364,0.19631068721038364
home_rolling_hits_avg5,-0.1825211044365076,0.1825211044365076
home_rolling_blocked_shots_avg5,-0.1820517840599662,0.1820517840599662
away_rolling_shots_for_avg10,-0.16403702910077783,0.16403702910077783
home_rolling_shots_for_avg5,-0.1426898735511091,0.1426898735511091
home_rolling_shots_against_avg10,-0.13785545689969597,0.13785545689969597
home_rolling_takeaways_avg10,-0.1277781168941618,0.1277781168941618
away_rolling_power_play_pct_avg10,-0.117550621830407,0.117550621830407
home_rolling_goals_for_avg10,0.11122585966560267,0.11122585966560267
home_rolling_blocked_shots_avg10,0.10925132959008753,0.10925132959008753
away_rolling_blocked_shots_avg10,0.10841319169356317,0.10841319169356317
away_rolling_power_play_pct_avg5,0.09596699658679629,0.09596699658679629
away_rolling_goals_for_avg10,-0.09538982875598573,0.09538982875598573
home_rolling_goals_against_avg5,-0.09351792433039734,0.09351792433039734
away_rolling_goals_against_avg10,0.0901952526883313,0.0901952526883313
home_rolling_goals_for_avg5,0.08942412736552315,0.08942412736552315
home_rolling_penalty_kill_pct_avg10,0.08639350119471406,0.08639350119471406
away_rolling_giveaways_avg5,0.08280369121977409,0.08280369121977409
away_rolling_pims_avg5,0.07937277277033689,0.07937277277033689
away_rolling_shots_for_avg5,0.07802629815213853,0.07802629815213853
home_rolling_goals_against_avg10,0.07490984684143503,0.07490984684143503
away_rolling_shots_against_avg10,-0.07335366090918286,0.07335366090918286
home_rolling_power_play_pct_avg10,-0.05873341798190386,0.05873341798190386
home_rolling_shots_against_avg5,0.05387836073329743,0.05387836073329743
away_rolling_goals_for_avg5,0.049966366429518266,0.049966366429518266
away_rolling_takeaways_avg10,-0.04970493750805027,0.04970493750805027
home_rolling_takeaways_avg5,0.04748020553366289,0.04748020553366289
away_rolling_pims_avg10,-0.04499361458664732,0.04499361458664732
away_rolling_faceoff_win_pct_avg10,-0.04478171315458506,0.04478171315458506
away_rolling_giveaways_avg10,-0.043736062833447546,0.043736062833447546
away_rolling_hits_avg5,-0.03692767240540557,0.03692767240540557
away_rolling_goals_against_avg5,0.03430310859083743,0.03430310859083743
home_rolling_giveaways_avg5,0.029406039058121676,0.029406039058121676
away_rolling_takeaways_avg5,-0.025340127962747122,0.025340127962747122
home_rolling_penalty_kill_pct_avg5,-0.0199039988457447,0.0199039988457447
away_rolling_penalty_kill_pct_avg10,-0.018482058627546823,0.018482058627546823
home_rolling_power_play_pct_avg5,0.018296111024538805,0.018296111024538805
away_rolling_hits_avg10,0.013991109266651994,0.013991109266651994
away_rolling_penalty_kill_pct_avg5,-0.012910641535951535,0.012910641535951535
away_rolling_faceoff_win_pct_avg5,0.011310257301958436,0.011310257301958436
home_rolling_giveaways_avg10,0.001495717489236559,0.001495717489236559
home_rolling_team_row_number,0.0,0.0
away_rolling_team_row_number,0.0,0.0
